what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1476240753412
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1476240753450
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476240753514
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1476240753536
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476240758885
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476240781811
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476240785329
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476240788493
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1476240792549
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476240863808
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476240875818
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1476240877552
started,bundle,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.ui",1476240915316
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1476240915401
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1476240946684
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476240956061
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476241028178
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476241041934
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476241048294
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476241055946
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476241066518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476241078389
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476241085902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476241093078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476241100520
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476241100950
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476241120351
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476241130980
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1476241137697
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476241170511
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476241214778
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1476241217389
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476241220400
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476241246479
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476241252152
